sheet,codigo,imagen_indice_en_hoja,archivo,sha256,width,height
E1,R1,1,c581bf98df74d3f5.png,c581bf98df74d3f56597b74971f15f8c3f3a570da1365e91cc431012432bfd3f,714,615
E2,R2,1,21c41c315d525968.png,21c41c315d5259688aa06f4eca6508fac27e7c054aaf797d2040497b50bc3718,652,567
E2,R2,2,2e54e1ac757651cb.png,2e54e1ac757651cb7f86e38db15894b38a12b90e55f5ed6c5d5ccac8047faa25,111,18
E3,R3,1,2cb6aa0be23f1411.png,2cb6aa0be23f1411394ef3c06e1de12fbab62fef561d8895e690cca0c779f576,1088,591
E4,R4,1,66c39574477446d2.png,66c39574477446d23f583680502d46380bfbb980b52d2ea90699ace2d9380ca6,1052,840
E5,R5,1,82e3a02e32c8904e.png,82e3a02e32c8904ea5eaf42778165667fb110cbe8d3036a06c507eb912223002,523,484
E6,R6,1,0e5a80035394a44d.png,0e5a80035394a44df2226e058b6b52e5dee56e2437c826c28b6f5574b9a338f2,1342,705
E7,R7,1,84735c18f68ba813.png,84735c18f68ba813d34c782276547f047d0f9db382b12c3752b8ab75ad42dd72,703,621
E8,R8,1,7d00d00e1a282618.png,7d00d00e1a282618b8df1314d3bdf81bc5492d34f26d69ca6b8da4acc608b48d,560,525
E9,R9,1,c3fb2de011ef23ee.png,c3fb2de011ef23ee803f3315d42a015aae522243736cd26fd4cca56eee6a5082,828,533
E10,R10,1,15e206d81ff479e4.png,15e206d81ff479e4858a3b011bda8b29e3a0be13876fc5a17c9954fb86df3b28,665,494
E11,R11,1,20d26e848df30338.png,20d26e848df303383c5a9178e885052ec0a4f3259e3293ca43f27a5639e47b06,1052,799
E12,R12,1,6ae0274c0a32d9f5.png,6ae0274c0a32d9f56846772644dfcba94b187f26485e34045395500ddf65d6c8,960,710
E13,R13,1,de1a72ab9ee0f4cd.png,de1a72ab9ee0f4cde71345b6c288e9f59321347bd81fca70ca385b613b1d2ffa,866,699
E14,R14,1,e8a113b4965113fc.png,e8a113b4965113fc9e4b67d7170bf43ffb641a872daa2d141a32b5b0484635f6,1280,675
E15,R15,1,edfb4cbf308f5338.png,edfb4cbf308f53383669fe0a709ec7ae747a39c9ba2ac11b2adf6296b9b134a8,1300,672
