original_id,original_nombre,canonical_id,canonical_nombre,motivo,categoria,ejercicios_afectados
15,Movilidad sin balón,3,Movilidad sin balón,variante de puntuación,formato,1
20,Crear lineas de pase,4,Crear líneas de pase,variante de puntuación,formato,16
129,Crear Lineas de pase,4,Crear líneas de pase,variante de mayúsculas y tilde,ortografia,1
10,Cerrar Lineas de pase,7,Cerrar líneas de pase,variante de mayúsculas,formato,1
21,Cerrar lineas de pase,7,Cerrar líneas de pase,variante de puntuación,formato,32
17,Cerrar lines de pase,7,Cerrar líneas de pase,errata: lines,ortografia,1
137,Cerrrar lineas de pase,7,Cerrar líneas de pase,errata: cerrrar,ortografia,1
9,Mejora tecnica de control y pase,5,Mejora técnica del control y el pase,variante ortográfica equivalente,ortografia,1
29,Mejora tecnica del control y el pase,5,Mejora técnica del control y el pase,variante con artículo equivalente,equivalencia,13
34,Mejora tecnica del control y el pase.,5,Mejora técnica del control y el pase,variante de puntuación,formato,3
37,Mejora tecnica del control y el pase.5,5,Mejora técnica del control y el pase,carácter espurio al final,ortografia,1
59,Mejora tecnica del pase y el control,5,Mejora técnica del control y el pase,orden equivalente de control y pase,equivalencia,1
44,Conversación de balón,6,Conservación de balón,errata: conversación,ortografia,1
47,Convervación de balon,6,Conservación de balón,errata: convervación,ortografia,1
77,Orientación de la presión,22,Orientación de la presión,variante de tilde,ortografia,4
18,Orientación presión,22,Orientación de la presión,variante sin artículo,equivalencia,1
43,Evitar pases interiores,30,Evitar pases interiores,variante singular/plural,equivalencia,1
83,Cambio chip,39,Cambio de chip,variante sin preposición,equivalencia,2
48,Cambios de orientación,46,Cambio de orientación,variante singular/plural,equivalencia,3
89,Interceptacion,45,Interceptación,variante sin tilde,ortografia,1
133,Intercepttación,45,Interceptación,errata: intercepttación,ortografia,1
139,Dejar de Cara,58,Dejar de cara,variante de mayúsculas,formato,1
103,Trabajo Coordinativo,61,Trabajo coordinativo,variante de mayúsculas,formato,4
121,Trabajo coordinativo.,61,Trabajo coordinativo,variante de puntuación,formato,4
70,Trabajo cordinativo,61,Trabajo coordinativo,errata: cordinativo,ortografia,1
64,Inicio de juego,62,Inicio de juego,variante con preposición,equivalencia,3
75,Inicio juego,62,Inicio de juego,variante sin preposición,equivalencia,1
156,Juego Directo,82,Juego directo,variante de mayúsculas,formato,2
118,. Trabajo Preventivo,91,Trabajo preventivo,puntuación inicial y mayúsculas,formato,1
108,Mejora tecnica del pase.,92,Mejora técnica del pase,variante de puntuación,formato,10
100,Trabajo propiocepcion,93,Trabajo de propiocepción,variante sin tilde,ortografia,1
104,Trabajo Propiocepción,93,Trabajo de propiocepción,variante de mayúsculas,formato,3
112,Trabajo de propiocepción,93,Trabajo de propiocepción,variante con preposición,equivalencia,1
117,Trabjo Propiocepción,93,Trabajo de propiocepción,errata: trabjo,ortografia,1
102,Fuerza Tren Superior,95,Fuerza del tren superior,variante de mayúsculas,formato,1
107,Trabajo Tren superior,97,Trabajo de tren superior,variante de mayúsculas,formato,2
106,Trabajo Fuerza Explosiva,99,Trabajo de fuerza explosiva,variante de mayúsculas,formato,1
120,Resistencia Aeróbica.,109,Resistencia aeróbica,variante de puntuación,formato,1
114,Trabajo de resistencia aerobica,111,Trabajo de resistencia aeróbica,variante sin tilde,ortografia,1
161,Juego Áereo,122,Juego aéreo,errata en tilde de aéreo,ortografia,2
125,Balón aéreo,124,Balón aéreo,variante de mayúsculas,formato,1
127,Ampitud,72,Amplitud,errata: ampitud,ortografia,1
126,Finañización,80,Finalización,errata: finañización,ortografia,1
143,Basculacion,53,Basculaciones,variante singular/plural y tilde,equivalencia,1
158,Marcajes y Basulaciones,162,Marcajes y basculaciones,errata: basulaciones,ortografia,1
147,Organización ofensiva,145,Organización ofensiva,variante de mayúsculas,formato,1
149,Organización Defensiva,148,Organización defensiva,variante de mayúsculas,formato,3
180,Remate de cabeza,164,Remate de cabeza,variante de mayúsculas,formato,1
168,Despeje Orientado,165,Despeje orientado,variante de mayúsculas,formato,1
170,Defensa en zona,169,Defensa en zona,variante de mayúsculas,formato,2
182,Trabajo de Velocidad de reacción,176,Trabajo de velocidad de reacción,variante de mayúsculas,formato,1
171,Despeje,84,Despeje,variante singular/plural,equivalencia,1
178,. Toma de decisiones,36,Toma de decisiones,puntuación inicial redundante,formato,1
