version,objetivo_destino,categoria,objetivos_origen,relaciones_procedencia,ejercicios_distintos
v2-final,Activación,CP,"[{""objetivo_origen_id"":173,""objetivo_origen"":""Activación"",""accion"":""MANTENER"",""alcance"":""global""}]",3,2
v2-final,Ajuste posicional tras transición,TRA,"[{""objetivo_origen_id"":39,""objetivo_origen"":""Cambio de chip"",""accion"":""DIVIDIR"",""alcance"":""excepcion""}]",2,1
v2-final,Amplitud,TO,"[{""objetivo_origen_id"":72,""objetivo_origen"":""Amplitud"",""accion"":""MANTENER"",""alcance"":""global""}]",12,7
v2-final,Anticipación,TD,"[{""objetivo_origen_id"":166,""objetivo_origen"":""Anticipación"",""accion"":""MANTENER"",""alcance"":""global""}]",3,3
v2-final,Apoyo,TO,"[{""objetivo_origen_id"":1,""objetivo_origen"":""Apoyos"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":31,""objetivo_origen"":""Apoyos constantes"",""accion"":""UNIFICAR"",""alcance"":""global""}]",4,3
v2-final,Ataque al espacio tras la línea defensiva,TO,"[{""objetivo_origen_id"":150,""objetivo_origen"":""Buscar balón a la espalda de la defensa"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Ataque mediante centro lateral,TO,"[{""objetivo_origen_id"":160,""objetivo_origen"":""Ataque por centro lateral"",""accion"":""UNIFICAR"",""alcance"":""global""}]",1,1
v2-final,Atraer y liberar espacio,TO,"[{""objetivo_origen_id"":141,""objetivo_origen"":""Agrupar gente"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":142,""objetivo_origen"":""Acumulación de gente"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,1
v2-final,Ayudas defensivas,TD,"[{""objetivo_origen_id"":78,""objetivo_origen"":""Ayudas"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":151,""objetivo_origen"":""Ayudas defensivas"",""accion"":""MANTENER"",""alcance"":""global""}]",2,2
v2-final,Basculación defensiva,TD,"[{""objetivo_origen_id"":53,""objetivo_origen"":""Basculaciones"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":162,""objetivo_origen"":""Marcajes y basculaciones"",""accion"":""DIVIDIR"",""alcance"":""global""}]",24,22
v2-final,Cambio de dirección,TEC,"[{""objetivo_origen_id"":131,""objetivo_origen"":""Cambio de dirección"",""accion"":""MANTENER"",""alcance"":""global""}]",1,1
v2-final,Cambio de orientación,TO,"[{""objetivo_origen_id"":19,""objetivo_origen"":""Sacar de zona"",""accion"":""DIVIDIR"",""alcance"":""excepcion""},{""objetivo_origen_id"":46,""objetivo_origen"":""Cambio de orientación"",""accion"":""MANTENER"",""alcance"":""global""}]",12,8
v2-final,Cambio de orientación tras recuperación,TRA,"[{""objetivo_origen_id"":13,""objetivo_origen"":""Si hay robo, juego al lado contrario"",""accion"":""REUBICAR"",""alcance"":""global""},{""objetivo_origen_id"":35,""objetivo_origen"":""Si robo, juego al triángulo contrario"",""accion"":""REUBICAR"",""alcance"":""global""},{""objetivo_origen_id"":134,""objetivo_origen"":""Robo y cambio de zona"",""accion"":""DIVIDIR"",""alcance"":""global""}]",3,3
v2-final,Cierre de líneas de pase,TD,"[{""objetivo_origen_id"":7,""objetivo_origen"":""Cerrar líneas de pase"",""accion"":""UNIFICAR"",""alcance"":""global""}]",37,37
v2-final,Cierre de líneas de pase interiores,TD,"[{""objetivo_origen_id"":26,""objetivo_origen"":""Cerrar líneas de pase interiores"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":30,""objetivo_origen"":""Evitar pases interiores"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":136,""objetivo_origen"":""Tapar pases interiores"",""accion"":""UNIFICAR"",""alcance"":""global""}]",4,4
v2-final,Cobertura defensiva,TD,"[{""objetivo_origen_id"":74,""objetivo_origen"":""Marcas y coberturas"",""accion"":""DIVIDIR"",""alcance"":""global""}]",4,4
v2-final,Comunicación,COG,"[{""objetivo_origen_id"":56,""objetivo_origen"":""Comunicación"",""accion"":""MANTENER"",""alcance"":""global""}]",15,12
v2-final,Conducción,TEC,"[{""objetivo_origen_id"":66,""objetivo_origen"":""Mejora técnica del control, el pase y la conducción"",""accion"":""DIVIDIR"",""alcance"":""global""}]",2,2
v2-final,Conservación de balón,TO,"[{""objetivo_origen_id"":6,""objetivo_origen"":""Conservación de balón"",""accion"":""MANTENER"",""alcance"":""global""},{""objetivo_origen_id"":110,""objetivo_origen"":""Posesión"",""accion"":""UNIFICAR"",""alcance"":""global""}]",92,58
v2-final,Contraataque tras recuperación,TRA,"[{""objetivo_origen_id"":11,""objetivo_origen"":""En caso de robo, generar un 3 vs 2 contra miniporterías"",""accion"":""REUBICAR"",""alcance"":""global""},{""objetivo_origen_id"":146,""objetivo_origen"":""Transiciones"",""accion"":""UNIFICAR"",""alcance"":""global""}]",2,2
v2-final,Control,TEC,"[{""objetivo_origen_id"":5,""objetivo_origen"":""Mejora técnica del control y el pase"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":66,""objetivo_origen"":""Mejora técnica del control, el pase y la conducción"",""accion"":""DIVIDIR"",""alcance"":""global""},{""objetivo_origen_id"":119,""objetivo_origen"":""Mejora técnica del control y el tiro"",""accion"":""DIVIDIR"",""alcance"":""global""}]",33,33
v2-final,Control orientado,TEC,"[{""objetivo_origen_id"":67,""objetivo_origen"":""Control orientado"",""accion"":""MANTENER"",""alcance"":""global""}]",1,1
v2-final,Coordinación motriz,CP,"[{""objetivo_origen_id"":60,""objetivo_origen"":""Coordinación"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":61,""objetivo_origen"":""Trabajo coordinativo"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":113,""objetivo_origen"":""Trabajo de coordinación"",""accion"":""UNIFICAR"",""alcance"":""global""}]",27,17
v2-final,Creación de líneas de pase,TO,"[{""objetivo_origen_id"":4,""objetivo_origen"":""Crear líneas de pase"",""accion"":""UNIFICAR"",""alcance"":""global""},{""objetivo_origen_id"":8,""objetivo_origen"":""Buscar líneas de pase"",""accion"":""UNIFICAR"",""alcance"":""global""}]",19,19
