version,objetivo_origen_id,objetivo_origen,frecuencia_ejercicios,frecuencia_relaciones,accion,categoria_destino,objetivo_destino_1,objetivo_destino_2,objetivo_destino_3,contexto,formato,confianza,estado_revision,motivo,ejercicio_excepcion,decision_entrenador
v2-final,1,Apoyos,3,3,UNIFICAR,TO,Apoyo,,,,,ALTA,APROBADO,Normalización a singular profesional sin pérdida semántica.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,2,Líneas de pase,17,17,MANTENER,TO,Líneas de pase,,,,,ALTA,APROBADO,Concepto ofensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,3,Movilidad sin balón,2,2,MANTENER,TO,Movilidad sin balón,,,,,ALTA,APROBADO,Los dos rondos exigen reposicionamiento ofensivo sin balón; se mantiene separado como concepto específico.,,APROBADA_SEGUN_INFORME
v2-final,4,Crear líneas de pase,18,18,UNIFICAR,TO,Creación de líneas de pase,,,,,ALTA,APROBADO,Se conserva el concepto con denominación nominal profesional.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,5,Mejora técnica del control y el pase,20,20,DIVIDIR,TEC,Control,Pase,,,,ALTA,APROBADO,Objetivo compuesto; se conservan sus dos componentes técnicos.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,6,Conservación de balón,58,91,MANTENER,TO,Conservación de balón,,,,,ALTA,APROBADO,Los 58 ejercicios confirman mantener y circular el balón como principio ofensivo estable.,,APROBADA_SEGUN_INFORME
v2-final,7,Cerrar líneas de pase,37,37,UNIFICAR,TD,Cierre de líneas de pase,,,,,ALTA,APROBADO,Se conserva el concepto con denominación nominal profesional.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,8,Buscar líneas de pase,1,1,UNIFICAR,TO,Creación de líneas de pase,,,,,ALTA,APROBADO,Equivale a generar líneas de pase disponibles.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,11,"En caso de robo, generar un 3 vs 2 contra miniporterías",1,1,REUBICAR,TRA,Contraataque tras recuperación,,,3 contra 2,Miniporterías,ALTA,APROBADO,Se separa el objetivo transicional del contexto numérico y el formato de finalización.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,12,Progresión,4,6,MANTENER,TO,Progresión,,,,,ALTA,APROBADO,Concepto ofensivo válido y ya normalizado.,,APROBADA_TAXONOMIA_AUDITADA
v2-final,13,"Si hay robo, juego al lado contrario",1,1,REUBICAR,TRA,Cambio de orientación tras recuperación,,,Lado contrario,,ALTA,APROBADO,Se extrae la acción transicional y se conserva la referencia espacial como contexto.,,APROBADA_TAXONOMIA_AUDITADA
